ID,Movie,Year,Rating,Watched,Cinema,Vote Average,Vote Count,Runtime,Genres,Budget,Revenue
329440,The Forest,2016,3,2016-12-27,False,2.55,1200,95,Horror|Thriller|Mystery,10000000.0,37608299.0
302946,The Accountant,2016,3,2016-12-28,False,3.5,4003,128,Crime|Thriller|Drama,44000000.0,155160045.0
345911,Lights Out,2016,4,2016-12-30,False,3.15,2701,81,Thriller|Mystery|Horror|Drama,4900000.0,148868835.0
313369,La La Land,2016,5,2017-01-17,False,3.95,12065,129,Comedy|Drama|Romance|Music,30000000.0,446486224.0
376867,Moonlight,2016,5,2017-01-21,False,3.7,4981,111,Drama,4000000.0,65046687.0
346685,The Girl on The Train,2016,2,2017-01-22,False,3.2,4231,112,Crime|Drama|Mystery|Romance|Thriller,45000000.0,173185859.0
334541,Manchester by the Sea,2016,4,2017-01-26,False,3.75,3985,138,Drama,9000000.0,78988148.0
338766,Hell or High Water,2016,4,2017-02-01,False,3.65,2992,102,Crime|Western,12000000.0,37589296.0
393457,Fences,2016,3,2017-02-04,True,3.4,1775,139,Drama,24000000.0,64414761.0
381284,Hidden Figures,2016,4,2017-02-09,True,4.0,5968,127,Drama|History,25000000.0,230698791.0
263115,Logan,2017,4,2017-03-02,False,3.9,14491,137,Action|Drama|Science Fiction,97000000.0,619021436.0
377462,O.J.: Made in America,2016,5,2017-03-18,False,4.3,137,467,Documentary,30000000.0,151866047.5
75638,Red Lights,2012,2,2017-03-18,False,3.05,758,119,Thriller,14000000.0,13551174.0
381288,Split,2017,4,2017-03-24,True,3.65,12558,117,Horror|Thriller,9000000.0,278454358.0
68730,Silence,2016,3,2017-03-25,False,3.55,2048,161,Drama|History,46000000.0,23737523.0
245891,John Wick,2014,4,2017-03-27,False,3.65,12884,101,Action|Thriller,20000000.0,88761661.0
315837,Ghost in the Shell,2017,3,2017-03-30,True,3.0,5939,107,Action|Science Fiction|Thriller|Drama,110000000.0,169801921.0
363676,Sully,2016,3,2017-04-22,False,3.55,4849,96,Drama|History,60000000.0,240797623.0
283995,Guardians of the Galaxy Vol. 2,2017,4,2017-05-01,True,3.8,15058,137,Action|Adventure|Comedy|Science Fiction,200000000.0,863756051.0
419430,Get Out,2017,4,2017-05-14,False,3.8,11254,104,Mystery|Thriller|Horror,4500000.0,255407969.0
397243,The Autopsy of Jane Doe,2016,3,2017-05-28,False,3.3,2516,86,Horror|Mystery,30000000.0,5972942.0
297762,Wonder Woman,2017,4,2017-06-01,True,3.65,14854,141,Action|Adventure|Fantasy,149000000.0,821847012.0
324552,John Wick: Chapter 2,2017,3,2017-06-04,False,3.6,7998,122,Thriller|Action|Crime,40000000.0,171539887.0
395992,Life,2017,3,2017-06-11,False,3.2,5096,103,Horror|Science Fiction|Thriller,58000000.0,100541806.0
9693,Children of Men,2006,3,2017-06-16,False,3.8,4556,109,Drama|Action|Thriller|Science Fiction,76000000.0,69959751.0
