ID,Genres,Rating,Vote Average
345887,Thriller,3,3.25
345887,Action,3,3.25
345887,Crime,3,3.25
418680,Family,3,3.55
418680,History,3,3.55
948,Horror,3,3.75
948,Thriller,3,3.75
338952,Adventure,3,3.45
338952,Fantasy,3,3.45
338952,Family,3,3.45
297802,Action,4,3.45
297802,Adventure,4,3.45
297802,Fantasy,4,3.45
405774,Thriller,4,3.45
405774,Drama,4,3.45
405774,SciFi,4,3.45
339877,Animation,4,4.1
339877,Drama,4,4.1
339877,Mystery,4,4.1
424694,Drama,3,4.0
424694,Music,3,4.0
299537,Action,3,3.5
299537,Adventure,3,3.5
299537,SciFi,3,3.5
490132,Drama,4,4.15
490132,Comedy,4,4.15
480530,Drama,4,3.45
287947,Action,4,3.5
287947,Comedy,4,3.5
287947,Fantasy,4,3.5
299534,Adventure,4,4.15
299534,SciFi,4,4.15
299534,Action,4,4.15
450465,Thriller,3,3.3
450465,Drama,3,3.3
450465,SciFi,3,3.3
487558,Crime,4,3.8
487558,Drama,4,3.8
487558,History,4,3.8
487558,Comedy,4,3.8
458723,Thriller,4,3.5
458723,Horror,4,3.5
458723,Mystery,4,3.5
474350,Horror,3,3.4
474350,Fantasy,3,3.4
310307,Drama,3,3.55
310307,History,3,3.55
475557,Crime,5,4.1
475557,Thriller,5,4.1
475557,Drama,5,4.1
559969,Crime,4,3.4
559969,Drama,4,3.4
559969,Thriller,4,3.4
559969,Action,4,3.4
568091,Thriller,3,3.3
396422,Horror,3,3.25
396422,Horror,4,3.25
396422,Mystery,3,3.25
396422,Mystery,4,3.25
396422,Thriller,3,3.25
396422,Thriller,4,3.25
398978,Crime,3,3.85
398978,Drama,3,3.85
398978,History,3,3.85
181812,Action,3,3.3
181812,Adventure,3,3.3
181812,SciFi,3,3.3
496243,Comedy,4,4.25
496243,Thriller,4,4.25
496243,Drama,4,4.25
546554,Mystery,5,3.9
546554,Thriller,5,3.9
546554,Comedy,5,3.9
546554,Drama,5,3.9
546554,Crime,5,3.9
503919,Drama,3,3.8
503919,Fantasy,3,3.8
503919,Mystery,3,3.8
503919,Horror,3,3.8
466272,Comedy,5,3.75
466272,Drama,5,3.75
466272,Thriller,5,3.75
515001,Comedy,4,4.05
515001,War,4,4.05
515001,Drama,4,4.05
157433,Thriller,3,2.85
157433,Horror,3,2.85
530915,War,4,3.95
530915,Drama,4,3.95
530915,Action,4,3.95
530915,History,4,3.95
473033,Crime,5,3.55
473033,Thriller,5,3.55
473033,Drama,5,3.55
473033,Comedy,5,3.55
64682,Drama,3,3.7
64682,Romance,3,3.7
68722,Drama,3,3.6
265195,Drama,3,3.9
265195,Thriller,3,3.9
265195,Comedy,3,3.9
207932,Mystery,2,3.0
207932,Thriller,2,3.0
207932,Drama,2,3.0
570670,Thriller,4,3.6
570670,SciFi,4,3.6
570670,Horror,4,3.6
501170,Horror,4,3.55
501170,Drama,4,3.55
501170,Fantasy,4,3.55
501170,Thriller,4,3.55
619264,Drama,4,3.55
619264,SciFi,4,3.55
619264,Thriller,4,3.55
359724,Drama,4,3.95
359724,Action,4,3.95
492188,Drama,3,3.95
595,Crime,3,4.0
595,Drama,3,4.0
105,Adventure,4,4.15
105,Comedy,4,4.15
105,SciFi,4,4.15
105,Family,4,4.15
446159,Mystery,4,4.05
446159,Western,4,4.05
446159,Thriller,4,4.05
331482,Drama,4,4.0
331482,Romance,4,4.0
429617,Action,5,3.75
429617,Adventure,5,3.75
429617,SciFi,5,3.75
324857,Action,5,4.2
324857,Adventure,5,4.2
324857,Animation,5,4.2
324857,SciFi,5,4.2
324857,Comedy,5,4.2
530385,Horror,4,3.55
530385,Drama,4,3.55
530385,Mystery,4,3.55
