ID,Movie,Year,Rating,Watched,Cinema,Vote Average,Vote Count,Runtime,Genres,Budget,Revenue,Overview
2118,L.A. Confidential,1997,4,2016-07-25,False,3.9,2924,138,Crime|Thriller,35000000,126216940,Three detectives in the corrupt and brutal L.A. police force of the 1950s use differing methods to uncover a conspiracy behind the shotgun slayings of the patrons at an all-night diner.
10734,Escape From Alcatraz,1979,3,2016-07-31,False,3.75,1629,113,Drama|Thriller,8000000,43000000,"San Francisco Bay, January 18, 1960. Frank Lee Morris is transferred to Alcatraz, a maximum security prison located on a rocky island. Although no one has ever managed to escape from there, Frank and other inmates begin to carefully prepare an escape plan."
256917,The Water Diviner,2014,3,2016-08-01,False,3.4,814,112,War|Drama,22500000,15520023,"In 1919, Australian farmer Joshua Connor travels to Turkey to discover the fate of his three sons, reported missing in action. Holding on to hope, Joshua must travel across the war-torn landscape to find the truth and his own peace."
297761,Suicide Squad,2016,3,2016-08-05,True,2.95,15987,123,Action|Adventure|Crime|Fantasy|SciFi,175000000,746846894,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences."
1480,Touch Of Evil,1958,4,2016-08-09,False,3.9,847,95,Thriller|Crime,829000,2247465,"When a car bomb explodes on the American side of the U.S./Mexico border, Mexican drug enforcement agent Miguel Vargas begins his investigation, along with American police captain Hank Quinlan. When Vargas begins to suspect that Quinlan and his shady partner, Menzies, are planting evidence to frame an innocent man, his investigations into their possible corruption quickly put himself and his new bride, Susie, in jeopardy."
290250,The Nice Guys,2016,4,2016-08-13,False,3.55,5307,116,Comedy|Crime|Action,50000000,62788218,A private eye investigates the apparent suicide of a fading porn star in 1970s Los Angeles and uncovers a conspiracy.
968,Dog Day Afternoon,1975,5,2016-08-19,False,3.9,1688,125,Crime|Drama|Thriller,1800000,46665856,"Based on the true story of would-be Brooklyn bank robbers John Wojtowicz and Salvatore Naturale. Sonny and Sal attempt a bank heist which quickly turns sour and escalates into a hostage situation and stand-off with the police. As Sonny's motives for the robbery are slowly revealed and things become more complicated, the heist turns into a media circus."
11368,Blood Simple ,1984,3,2016-08-20,False,3.7,726,97,Crime|Drama|Thriller,1500000,3851855,"The owner of a seedy small-town Texas bar discovers that one of his employees is having an affair with his wife. A chaotic chain of misunderstandings, lies and mischief ensues after he devises a plot to have them murdered."
321741,Concussion,2015,4,2016-08-21,False,3.55,1809,123,Drama,35000000,50363790,"A dramatic thriller based on the incredible true David vs. Goliath story of American immigrant Dr. Bennet Omalu, the brilliant forensic neuropathologist who made the first discovery of CTE, a football-related brain trauma, in a pro player and fought for the truth to be known. Omalu's emotional quest puts him at dangerous odds with one of the most powerful institutions in the world."
855,Black Hawk Down,2001,4,2016-08-22,False,3.65,3669,145,Action|History|War,92000000,172989651,"When U.S. Rangers and an elite Delta Force team attempt to kidnap two underlings of a Somali warlord, their Black Hawk helicopters are shot down, and the Americans suffer heavy casualties, facing intense fighting from the militia on the ground."
11336,The Dead Zone,1983,4,2016-08-26,False,3.5,816,103,Thriller|Horror|SciFi,10000000,20766616,"Johnny Smith is a schoolteacher with his whole life ahead of him but, after leaving his fiancee's home one night, is involved in a car crash which leaves him in a coma for 5 years. When he wakes, he discovers he has an ability to see into the past, present and future life of anyone with whom he comes into physical contact."
2252,Eastern Promises,2007,4,2016-08-28,False,3.7,2011,100,Thriller|Crime|Mystery,51500000,56106607,"A Russian teenager, living in London, dies during childbirth but leaves clues to a midwife in her journal, that could tie her child to a rape involving a violent Russian mob family."
153,Lost in Translation,2003,4,2016-08-31,False,3.7,4584,102,Drama|Romance|Comedy,4000000,119723856,"Two lost souls visiting Tokyo -- the young, neglected wife of a photographer and a washed-up movie star shooting a TV commercial -- find an odd solace and pensive freedom to be real in each other's company, away from their lives in America."
192,The Name of The Rose,1986,4,2016-09-01,False,3.7,1886,130,Drama|Thriller|Mystery,20000000,7153487,"14th-century Franciscan monk William of Baskerville and his young novice arrive at a conference to find that several monks have been murdered under mysterious circumstances. To solve the crimes, William must rise up against the Church's authority and fight the shadowy conspiracy of monastery monks using only his intelligence – which is considerable."
