ID,Movie,Year,Rating,Watched,Cinema,Vote Average,Vote Count,Runtime,Genres,Budget,Revenue
245891,John Wick,2014,4,2017-03-27,False,3.65,12958,101,,20000000,88761661
315837,Ghost in the Shell,2017,3,2017-03-30,True,3.0,5997,107,,110000000,169801921
363676,Sully,2016,3,2017-04-22,False,3.55,4877,96,,60000000,240797623
283995,Guardians of the Galaxy Vol. 2,2017,4,2017-05-01,True,3.8,15131,137,,200000000,863756051
419430,Get Out,2017,4,2017-05-14,False,3.8,11319,104,,4500000,255407969
397243,The Autopsy of Jane Doe,2016,3,2017-05-28,False,3.3,2539,86,,0,5972942
297762,Wonder Woman,2017,4,2017-06-01,True,3.65,14919,141,,149000000,821847012
324552,John Wick: Chapter 2,2017,3,2017-06-04,False,3.6,8061,122,,40000000,171539887
395992,Life,2017,3,2017-06-11,False,3.2,5127,103,,58000000,100541806
9693,Children of Men,2006,3,2017-06-16,False,3.8,4589,109,,76000000,69959751
120,The Lord of the Rings: The Fellowship of the Ring,2001,4,2017-06-18,False,4.15,17415,178,,93000000,871368364
61791,Rise of the Planet of the Apes,2011,4,2017-06-28,False,3.6,8487,105,,93000000,482860185
119450,Dawn of the Planet of the Apes,2014,4,2017-07-01,False,3.65,8163,130,,170000000,710644566
328387,Nerve,2017,3,2017-07-02,False,3.55,5369,96,,19000000,85241496
315635,Spider-Man: Homecoming,2017,4,2017-07-07,True,3.7,14545,133,,175000000,880166924
411088,Contratiempo,2016,3,2017-07-09,False,4.1,2563,106,,4000000,30000000
65086,The Woman in Black,2012,3,2017-07-25,False,3.05,2527,95,,17000000,127730736
374720,Dunkirk,2017,4,2017-07-28,True,3.7,11311,107,,100000000,525573161
18405,The Last House on the Left,2009,3,2017-07-30,False,3.2,1014,110,,15000000,32721635
281338,War for the Planet of the Apes,2017,5,2017-08-06,True,3.55,6183,140,,150000000,488533726
306947,The Invitation,2015,3,2017-08-11,False,3.25,1552,100,,0,231737
12477,Grave of the Fireflies,1988,5,2017-08-11,False,4.2,2869,89,,3700000,0
372058,Your Name,2016,4,2017-08-12,False,4.3,6031,106,,0,357986087
9323,Ghost In The Shell,1995,3,2017-08-13,False,3.95,1825,83,,0,2287714
351460,Death Note,2017,1,2017-08-26,False,2.1,2920,101,,40000000,0
396422,Annabelle: Creation,2017,3,2017-08-27,True,3.25,3875,109,,15000000,306515884
418078,It Comes At Night,2017,2,2017-09-01,False,2.9,1494,91,,5000000,19280931
7446,Tropic Thunder,2008,4,2017-09-03,False,3.3,3880,107,,92000000,195702811
345938,The Shack,2017,2,2017-09-09,False,3.6,1162,132,,20000000,92924405
346364,It,2017,5,2017-09-15,True,3.6,13806,135,,35000000,701796444
238,The Godfather,1972,5,2017-09-17,False,4.35,12618,175,,6000000,245066411
381283,Mother,2017,4,2017-10-03,True,3.5,4524,121,,30000000,44516999
335984,Blade Runner 2049,2017,5,2017-10-10,True,3.7,8497,163,,150000000,259239658
339403,Baby Driver,2017,4,2017-10-22,False,3.75,10417,113,,34000000,226945087
343674,Gerald's Game,2017,3,2017-11-03,False,3.2,2288,104,,0,0
284053,Thor: Ragnarok,2017,3,2017-11-03,True,3.8,14240,131,,180000000,853977126
395834,Wind River,2017,3,2017-11-12,False,3.7,3057,107,,11000000,44998252
141052,Justice League,2017,3,2017-11-16,True,3.1,9302,120,,300000000,657924295
269149,Zootopia,2016,4,2017-11-17,False,3.85,11938,109,,150000000,1023784195
294016,Trumbo,2015,4,2017-12-16,False,3.6,1075,124,,15000000,8235661
400106,Bright,2017,3,2017-12-23,False,3.1,3968,117,,90000000,0
181808,Star Wars: Episode VIII The Last Jedi,2017,4,2017-12-26,True,3.5,10776,152,,200000000,1332539889
297762,Wonder,2017,4,2018-01-02,True,3.65,14919,141,,149000000,821847012
21208,Orphan,2009,3,2018-01-21,False,3.45,3197,123,,20000000,77912251
2898,As Good as It Gets,1997,3,2018-01-28,False,3.7,2284,138,,50000000,314178011
49018,Insidious,2010,3,2018-02-16,False,3.45,4404,103,,1500000,97009150
446354,The Post,2017,3,2018-02-22,False,3.5,3214,116,,50000000,174503458
392044,Murder on the Orient Express,2017,3,2018-03-01,False,3.35,6794,114,,55000000,351839303
399055,The Shape of Water,2017,4,2018-03-05,False,3.6,8882,123,,19500000,194989655
429200,Good Time,2017,3,2018-03-09,False,3.6,1335,102,,0,3283369
284054,Black Panther,2018,3,2018-03-13,True,3.7,15464,134,,200000000,1346739107
359940,Three Billboards Outside Ebbing Missouri,2017,4,2018-03-17,False,4.05,6854,115,,15000000,158526998
354912,Coco,2017,4,2018-03-21,False,4.1,11735,105,,175000000,800526015
300668,Annihilation,2018,3,2018-03-25,False,3.15,5735,115,,40000000,43070915
333339,Ready Player One,2018,3,2018-03-29,True,3.8,9691,140,,175000000,582890172
447332,A Quiet Place,2018,4,2018-04-02,True,3.65,8420,91,,17000000,340677200
91586,Insidious: Chapter 2,2013,3,2018-04-06,False,3.3,2756,106,,5000000,0
280092,Insidious: Chapter 3,2015,3,2018-04-10,False,3.15,2275,97,,10000000,104303851
862,Toy Story,1995,5,2018-04-14,False,3.95,12642,81,,30000000,373554033
9487,A Bug's Life,1998,4,2018-04-18,False,3.45,6233,95,,120000000,363258859
299536,Avengers: Infinity War,2018,4,2018-04-22,True,4.15,18957,149,,300000000,2046239637
863,Toy Story 2,1999,3,2018-04-26,False,3.75,9505,92,,90000000,497366869
585,Monsters Inc,2001,4,2018-04-30,False,3.9,12948,92,,115000000,562816256
371638,The Disaster Artist,2017,4,2018-05-15,False,3.6,2454,104,,10000000,29820616
353486,Jumanji: Welcome to the Jungle,2017,3,2018-06-01,False,3.4,9548,119,,90000000,962102237
383498,Deadpool 2,2018,3,2018-06-03,True,3.75,11695,119,,110000000,741547413
343668,Kingsman: The Golden Circle,2017,3,2018-07-05,False,3.5,6874,141,,104000000,410902662
425972,Cargo,2017,3,2018-06-08,False,3.15,1027,105,,0,56385
49047,Gravity,2013,5,2018-06-08,False,3.6,11444,91,,105000000,723192705
401981,Red Sparrow,2018,3,2018-06-09,False,3.25,4226,140,,69000000,151572634
260513,Incredibles 2,2018,5,2018-06-28,True,3.75,8752,118,,200000000,1242805359
334533,Captain Fantastic,2016,4,2018-07-01,False,4.0,4413,119,,5000000,5879736
363088,Ant-Man and the Wasp,2018,3,2018-07-05,True,3.5,8595,119,,140000000,622674139
338970,Tomb Raider,2018,3,2018-07-07,False,3.15,5473,118,,94000000,274650803
476299,Ghostland,2018,3,2018-07-07,False,3.6,1318,91,,0,0
345,Eyes Wide Shut,1999,4,2018-07-08,False,3.7,3515,159,,65000000,162091208
56292,Mission: Impossible – Ghost Protocol,2011,3,2018-07-28,False,3.5,7078,133,,145000000,694713380
353081,Mission: Impossible - Fallout,2018,3,2018-08-03,True,3.7,5167,148,,178000000,791017452
281,Strange Days,1995,3,2018-08-25,False,3.5,737,145,,42000000,7959291
493922,Hereditary,2018,4,2018-08-25,False,3.55,4095,127,,10000000,79336821
500664,Upgrade,2018,3,2018-08-26,False,3.75,2206,100,,5000000,16593554
393519,Raw,2016,3,2018-09-01,False,3.55,1835,99,,3500000,4100000
6114,Dracula,1992,4,2018-09-02,False,3.7,2976,128,,40000000,215862692
162,Edward Scissorhands,1991,4,2018-09-07,False,3.85,8983,105,,20000000,53000000
439079,The Nun,2018,3,2018-09-08,True,2.85,3982,96,,22000000,365550119
259693,The Conjuring 2,2016,5,2018-09-08,False,3.6,5164,134,,40000000,320392818
489999,Searching,2018,4,2018-09-28,True,3.8,2259,103,,1000000,66265218
335983,Venom,2018,3,2018-10-10,True,3.35,9071,112,,116000000,855013954
318256,Hot Girls Wanted,2015,3,2018-10-10,False,3.0,371,84,,0,0
22538,Scott Pilgrim vs. the World,2010,4,2018-10-25,False,3.7,4880,112,,60000000,47664559
351286,Jurassic World: Fallen Kingdom,2018,3,2018-10-28,False,3.25,7830,129,,170000000,1303459585
345887,The Equalizer 2,2018,3,2018-10-31,False,3.25,2853,122,,62000000,102084362
418680,Goodbye Christopher Robin,2017,3,2018-11-01,False,3.55,536,107,,0,7299662
948,Halloween,1978,3,2018-11-04,True,3.75,3028,91,,325000,0
338952,Fantastic Beasts: The Crimes of Grindelwald,2018,3,2018-12-07,True,3.45,6973,134,,200000000,653355901
297802,Aquaman,2018,4,2018-12-09,True,3.45,8956,144,,160000000,1148461807
405774,Bird Box,2018,4,2018-12-23,False,3.45,6691,124,,19800000,0
339877,Loving Vincent,2017,4,2019-01-11,False,4.1,1594,95,,5500000,42187665
424694,Bohemian Rhapsody,2018,3,2019-02-20,False,4.0,11512,135,,52000000,894027543
299537,Captain Marvel,2019,3,2019-03-16,True,3.5,9726,124,,152000000,1128274794
490132,Green Book,2018,4,2019-03-10,False,4.15,6598,130,,23000000,319700000
480530,Creed II,2018,4,2019-03-24,False,3.45,3236,130,,50000000,214215889
287947,Shazam,2019,4,2019-04-07,True,3.5,5263,132,,80000000,363533271
299534,Avengers: Endgame,2019,4,2019-04-21,False,4.15,14197,181,,356000000,2797800564
450465,Glass,2019,3,2019-04-28,False,3.3,5346,129,,20000000,246941965
487558,BlacKKKlansman,2018,4,2019-06-12,False,3.8,4845,135,,15000000,48686605
458723,Us,2019,4,2019-06-25,False,3.5,4153,116,,20000000,255105930
474350,It Chapter Two,2019,3,2019-09-07,True,3.4,4421,169,,79000000,473093228
310307,The Founder,2017,3,2019-09-18,False,3.55,2955,115,,25000000,24121245
475557,Joker,2019,5,2019-10-01,True,4.1,13807,122,,55000000,1074251311
559969,El Camino,2019,4,2019-10-04,False,3.4,2645,123,,6000000,0
568091,Fractured,2019,3,2019-10-16,False,3.3,1161,100,,0,0
396422,Annabelle: Creation,2017,4,2019-11-01,False,3.25,3875,109,,15000000,306515884
398978,The Irishman,2019,3,2019-12-05,False,3.85,3752,209,,159000000,8000000
181812,Star Wars: The Rise of Skywalker,2019,3,2019-12-26,True,3.3,5253,142,,250000000,1074144248
496243,Parasite,2019,4,2020-01-01,False,4.25,8417,133,,11363000,245924070
546554,Knives Out,2019,5,2020-01-03,False,3.9,4914,131,,40000000,309232797
503919,The Lighthouse,2019,3,2020-01-04,False,3.8,1722,109,,4000000,17964238
466272,Once Upon a Time in Hollywood,2019,5,2020-01-21,False,3.75,6868,162,,95000000,374251247
515001,Jojo Rabbit,2019,4,2020-02-01,False,4.05,4206,108,,14000000,82468705
157433,Pet Sematary,2019,3,2020-01-21,False,2.85,2058,101,,21000000,112399944
530915,1917,2019,4,2020-01-31,True,3.95,5750,119,,100000000,368027644
473033,Uncut Gems,2019,5,2020-02-13,False,3.55,2123,136,,19000000,50020902
64682,The Great Gatsby,2013,3,2020-02-25,False,3.7,8733,143,,105000000,351040419
68722,The Master,2012,3,2020-02-27,False,3.6,1825,137,,32000000,28258060
265195,Relatos salvajes,2014,3,2020-03-02,False,3.9,1972,125,,4000000,27007072
207932,Inferno,2016,2,2020-03-05,False,3.0,4621,121,,75000000,220021259
570670,The Invisible Man,2020,4,2020-03-09,True,3.6,2449,124,,9000000,123414678
501170,Doctor Sleep,2019,4,2020-03-22,False,3.55,1925,152,,45000000,72281712
619264,The Platform,2019,4,2020-03-28,False,3.55,3455,95,,0,0
359724,Ford vs Ferrari,2019,4,2020-04-09,False,3.95,3081,152,,97600000,220803003
492188,Marriage Story,2019,3,2020-04-11,False,3.95,3780,137,,19000000,2300000
595,To Kill a Mockingbird,1962,3,2020-04-12,False,4.0,1625,130,,2000000,13129846
105,Back To The Future,1985,4,2020-04-19,False,4.15,13483,116,,19000000,381109762
446159,Bacurau,2019,4,2020-04-25,False,4.05,503,132,,0,0
331482,Little Women,2019,4,2020-05-01,False,4.0,2559,135,,40000000,191540586
429617,Spider-Man: Far from Home,2019,5,2020-05-02,False,3.75,7862,129,,160000000,1131927996
324857,Spider-Man: Into the Spider-Verse,2018,5,2020-05-09,False,4.2,7611,117,,90000000,375540831
530385,Midsommar,2019,4,2020-05-17,False,3.55,2599,148,,9000000,47862188
